Temperature (K),Pressure (Pa),Thermal Conductivity (W/m-K)
1,101325,1440
2,101325,2870
3,101325,4280
4,101325,5630
5,101325,6870
6,101325,7950
7,101325,8800
8,101325,9380
9,101325,9680
10,101325,9710
15,101325,7200
20,101325,4050
30,101325,1440
40,101325,692
50,101325,427
60,101325,314
70,101325,258
80,101325,229
90,101325,217
100,101325,208
150,101325,192
200,101325,185
250,101325,180
300,101325,174
350,101325,167
400,101325,159
500,101325,146
600,101325,137
800,101325,125
1000,101325,118
1200,101325,112
1400,101325,108
1600,101325,104
1800,101325,101
2000,101325,98
